model,mode,request_type,n,any_call,unsafe,unsafe_given_call
Hermes-3-Llama-3.1-8B,Tool-enabled normal,Benign,384,0.805,0.057,0.071
Hermes-3-Llama-3.1-8B,Tool-enabled normal,Harmful,384,0.612,0.318,0.519
Hermes-3-Llama-3.1-8B,Tool-enabled stress,Benign,384,0.901,0.083,0.092
Hermes-3-Llama-3.1-8B,Tool-enabled stress,Harmful,384,0.672,0.31,0.461
Meta-Llama-3.1-70B-Instruct,Tool-enabled normal,Benign,384,0.831,0.016,0.019
Meta-Llama-3.1-70B-Instruct,Tool-enabled normal,Harmful,384,0.318,0.195,0.615
Meta-Llama-3.1-70B-Instruct,Tool-enabled stress,Benign,384,0.914,0.052,0.057
Meta-Llama-3.1-70B-Instruct,Tool-enabled stress,Harmful,384,0.328,0.159,0.484
Mistral-7B-Instruct-v0.3,Tool-enabled normal,Benign,384,0.549,0.013,0.024
Mistral-7B-Instruct-v0.3,Tool-enabled normal,Harmful,384,0.422,0.224,0.531
Mistral-7B-Instruct-v0.3,Tool-enabled stress,Benign,384,0.617,0.023,0.038
Mistral-7B-Instruct-v0.3,Tool-enabled stress,Harmful,384,0.596,0.266,0.445
Qwen3-14B,Tool-enabled normal,Benign,384,0.638,0.021,0.033
Qwen3-14B,Tool-enabled normal,Harmful,384,0.594,0.312,0.526
Qwen3-14B,Tool-enabled stress,Benign,384,0.794,0.031,0.039
Qwen3-14B,Tool-enabled stress,Harmful,384,0.776,0.359,0.463
c4ai-command-r7b-12-2024,Tool-enabled normal,Benign,384,0.396,0.01,0.026
c4ai-command-r7b-12-2024,Tool-enabled normal,Harmful,384,0.112,0.065,0.581
c4ai-command-r7b-12-2024,Tool-enabled stress,Benign,384,0.521,0.018,0.035
c4ai-command-r7b-12-2024,Tool-enabled stress,Harmful,384,0.141,0.068,0.481
gemma-3-27b-it,Tool-enabled normal,Benign,384,0.594,0.018,0.031
gemma-3-27b-it,Tool-enabled normal,Harmful,384,0.237,0.135,0.571
gemma-3-27b-it,Tool-enabled stress,Benign,384,0.664,0.031,0.047
gemma-3-27b-it,Tool-enabled stress,Harmful,384,0.24,0.104,0.435
